feature_identifier	mz	mummichogID_hsa_mfn
Row.631_52682	409.158049395666	
Row.632_111563	260.185499987212	
Row.633_78405	322.162616009161	C01416
Row.634_2440	239.161353165974	
Row.635_79717	269.171941140162	C02679
Row.636_54629	250.142520045052	
Row.637_97521	312.12060257993	
Row.638_57576	509.293444237662	
Row.639_88958	268.130514757984	C01416,C01516,C16576
Row.640_130760	439.266613492883	5adtststeroneglc,C11135,C11136,ahandrostanglc,andrstrnglc
Row.641_115047	407.146660224143	
Row.642_70520	233.077957598641	C00062,C00792,C02325
Row.643_102219	249.088556639078	
Row.644_68699	267.156188287631	CE2102
Row.645_50239	279.085100004157	C01262,C02325
Row.646_57953	260.125317904188	
