feature_identifier	mz	mummichogID_hsa_biocyc
Row.705_1285	87.044397093064	C01412,BUTYRIC_ACID,CPD-7000,ETHYLENE-CMPD
Row.706_14167	447.166830683203	
Row.710_24882	627.217128017311	
Row.711_970	157.123097571269	
Row.714_39913	323.170755421668	
Row.715_61109	257.176479670687	
Row.720_57413	191.107643120382	CPD-731
Row.722_31859	309.175305462905	
Row.727_45642	269.140472370222	CPD-731
Row.728_33132	369.266121130271	
Row.729_28892	323.190532805687	
Row.730_23766	831.337980734339	
Row.732_37950	227.202086032133	CPD-7836
Row.734_23139	323.131208418154	
Row.736_30579	312.218810246999	
Row.737_17467	799.300674814117	
Row.741_30093	200.165789328977	CPD-10548,CPD-14702,CPD-266,CPD-7239,CPD-7240,CPD-7285,CPD-7287
Row.742_41620	162.055799760505	CPD-468,CPD-6122,C00633,CPD-3193,CPD-3194,TYR
Row.743_15186	434.9153094979	
Row.747_32500	197.154797798358	
Row.750_23177	748.824206882035	
Row.751_25475	215.165441349335	DODECANOATE
Row.752_30383	255.160971049948	
Row.754_17786	472.165452403073	
Row.756_51771	198.092464699668	CPD-11877
Row.758_22593	705.30355645978	
Row.762_45613	179.071235228987	1-INDANOL,4-GUANIDO-BUTYRAMIDE,C00601
Row.765_41627	209.118485138171	CPD-731
Row.767_17985	394.808543007449	
Row.768_55647	239.165872517251	CPD0-1159
Row.769_15142	494.18049434467	
Row.772_13434	412.404611766388	CPD-11400,CPD-11402
Row.773_55181	221.15497466249	
Row.774_14339	475.171460096272	
Row.775_60534	135.044610382921	HYDRPHENYLAC-CPD,C00601,PHENYLACETATE
Row.779_16030	512.189489077557	
Row.783_24325	795.818834216393	
Row.785_27445	309.208352553245	CPD-13089,CPD-13090,CPD-13091,CPD-730
Row.787_59848	221.154973211686	
Row.788_48819	175.076130500023	
Row.790_23128	189.104299790505	CPD-12018
Row.791_1323	134.04671519178	C00147,HOMO-SER,THR
Row.794_45065	165.091839547868	C01149,AGMATHINE,CPD-9978
Row.797_28944	295.1593587029	
Row.799_23166	724.809798325421	
Row.800_30168	401.201453759655	
Row.804_15154	498.166909999936	CPD-14704
Row.805_53852	225.149968356203	
Row.807_23585	855.329968294227	
Row.808_24510	323.130602783955	CPD-511
Row.809_14509	569.541602908639	
Row.813_60215	421.143888883095	
Row.814_12330	491.178713465403	
Row.815_31222	215.201884443444	
Row.819_55532	279.161085542372	
Row.820_30721	259.171149268818	
Row.821_54086	259.192241315047	DODECANOATE
Row.823_1344	236.866474716623	
Row.824_30840	215.165499326136	DODECANOATE
Row.825_19347	729.27749333448	
Row.826_1480	143.10731541577	CPD-195,CPD-371
Row.827_26929	281.176732754745	
Row.828_29597	239.16587332598	CPD0-1159
Row.829_43016	121.028919375916	C00633
Row.830_18151	221.082110119208	
Row.842_16318	509.209438332613	CPD0-1028,C00353
Row.844_55995	239.177000032697	
Row.845_47656	177.091854395043	CPD-396
Row.849_16024	470.499106472408	
Row.850_26819	163.039798228908	15-ANHYDRO-D-FRUCTOSE,4-HYDROXYPHENYLLACTATE,COUMARATE,CPD-11876,CPD-7651,C02763,PHENYL-PYRUVATE
Row.852_17315	591.237760249241	
Row.853_28593	251.202728681116	
Row.854_30848	181.159733959339	DODECANOATE
Row.856_30109	377.235110230227	17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-,CPD-8892,CPD66-23
Row.857_22876	158.071985803965	
Row.858_29785	565.232569166265	
Row.859_47557	211.134225191203	CPD-10050,CPD-10051,CPD-260,CPD-261,CPD-9762,C01499
Row.860_42730	177.091867614056	CPD-396
Row.861_2463	194.946671598314	
Row.862_13648	462.165083954433	
Row.864_16490	446.820106513514	
Row.866_22372	802.303701607679	
Row.873_14993	407.155106848599	
Row.874_23671	566.216616304702	
Row.876_19913	547.207940238134	
Row.879_1417	143.070936446963	CPD-13228,PRENAL,TRANS-2-HEXENAL
Row.882_28679	548.220243579573	
Row.883_15601	477.50592582782	
Row.884_22980	747.318120257693	
Row.885_25635	848.845453128955	
Row.892_29326	253.128936534408	
Row.893_29771	227.20203707733	CPD-7836
Row.894_42369	193.087060162844	1-INDANOL
Row.895_32504	301.239442788582	CPD6666-1,PALMITATE
Row.896_1335	135.044645339773	HYDRPHENYLAC-CPD,C00601,PHENYLACETATE
Row.898_17600	553.221209660168	
Row.899_30419	227.165692749405	
Row.900_22033	795.311706801662	
Row.902_31879	219.175660126582	2-TRANS6-TRANS-FARNESAL,CPD-4573
Row.904_43631	221.082361167951	
Row.908_26314	135.044632591081	HYDRPHENYLAC-CPD,C00601,PHENYLACETATE
Row.912_1366	151.039777863057	34-DIHYDROXYPHENYLACETALDEHYDE,CPD-11495,CPD-11878,CPD-6442,HYDRPHENYLAC-CPD,PHENYLACETATE
Row.913_42385	225.113631724439	CPD-731,CPD-9978
Row.914_31168	211.170595586366	
Row.915_20605	760.802904305083	
Row.916_32974	371.245290860588	CPD-13092,CPD-13093,CPD-13094
Row.922_27554	455.151909405817	5-10-METHENYL-THF
Row.932_14095	439.136719179907	CPD-12016
Row.934_46107	212.129506422565	
Row.942_27311	279.161375264777	
Row.944_18141	584.564557323985	
Row.946_23734	852.34337784409	
Row.948_31607	389.237054277244	
Row.950_23244	781.351234198559	
Row.952_31747	311.133513997795	
