"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"237.109409263617","CPD0-1445","M+H2O+H[1+]","0.00126122654700112"
"81.0316135455763","C00207","M+Na[1+]","0.000472264106306852"
"81.0316135455763","CPD-665","M+Na[1+]","0.000472264106306852"
"81.0316135455763","CPD-9501","M+H+Na[2+]","0.000702703793692194"
"81.0316135455763","CPD3O-4151","M+H+Na[2+]","0.000702703793692194"
"445.313878895682","CPD-13297","M-NH3+H[1+]","0.00215043968796635"
"445.313901822022","CPD-13297","M-NH3+H[1+]","0.00212751334800032"
"423.235507783864","5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY","M+HCOONa[1+]","0.000207115194029939"
"423.235507783864","ALPROSTADIL","M+HCOONa[1+]","0.000207115194029939"
"152.03163359595","5-OXOPROLINE","M+Na[1+]","0.000235967019989403"
"152.03163359595","PYRROLINE-HYDROXY-CARBOXYLATE","M+Na[1+]","0.000235967019989403"
"159.09146880142","CPD-11890","M-CO2+H[1+]","0.000235240949990612"
"159.09146880142","CPD-2742","M-H2O+H[1+]","0.000170683049987019"
"159.09146880142","C00525","M-HCOOH+H[1+]","0.000285305149986925"
"159.09146880142","C00780","M-H2O+H[1+]","0.000170683049987019"
"159.09146880142","TRP","M-HCOOH+H[1+]","0.000285305149986925"
"123.041681995199","C00299","M+2H[2+]","0.000362535671001751"
"380.146844015391","CPD-7710","M+HCOONa[1+]","2.40030210534314e-05"
"277.21335462966","C05294","M-CO+H[1+]","0.00276660220998792"
"183.135364567036","CPD-148","M+HCOONa[1+]","0.000162477533990568"
"209.151189526321","C00449","M-HCOONa+H[1+]","0.00082332544906194"
"214.083427860769","CPD-12021","M+Na[1+]","0.000477272701004949"
"227.161471523981","CPD-10689","M+K[1+]","0.00140173398901311"
"349.141053591464","CPD-12016","M-HCOOH+H[1+]","0.00156143129402153"
"108.04219067377","2-HYDROXY-2-METHYLPROPANENITRILE","M+Na[1+]","0.000150355000002378"
"108.04219067377","CPD-2750","M+H+Na[2+]","0.00102461289999667"
"108.04219067377","CPD-2751","M+H+Na[2+]","0.00102461289999667"
"108.04219067377","CPD-3185","M+H+Na[2+]","0.00102461289999667"
"108.04219067377","CPD-3188","M+H+Na[2+]","0.00102461289999667"
"108.04219067377","CPD-3191","M+H+Na[2+]","0.00102461289999667"
"226.083518673209","C00475","M-H2O+H[1+]","0.00132166303902181"
"221.126632739788","7E9E11Z14Z-5S6R-6-CYSTEIN-S-YL","M(C13)+2H[2+]","0.00196572368201942"
"221.126632739788","CPD-1097","M-CO2+H[1+]","0.00185073938203573"
"221.126632739788","CPD-12014","M-CO+H[1+]","0.0017361172820074"
"221.126632739788","CPD-12022","M-CO2+H[1+]","0.00185073938203573"
"106.086475480257","4-AMINO-BUTYRALDEHYDE","M+H2O+H[1+]","0.000185097287001668"
"197.11458833159","CPD-371","M+HCOONa[1+]","0.000203270880007267"
"309.086135524106","CPD-9700","M+K[1+]","0.00178735863596557"
"309.086135524106","NMNH","M-CO+H[1+]","0.0016070144359901"
"285.157490777879","PROTOPORPHYRINOGEN","M+2H[2+]","0.00226358549105043"
"199.130237043416","C00756","M+HCOONa[1+]","0.000204623253978298"
"135.041513957448","CPD-289","M+Na[1+]","0.000192010321995895"
"233.057179141871","L-GAMMA-GLUTAMYLCYSTEINE","M-H2O+H[1+]","0.00183958519900784"
"223.166714489895","DODECANOATE","M+Na[1+]","0.000191991474991937"
"286.237554110945","CPD-11268","M[1+]","0.000677882944955854"
"227.104030847597","C00931","M+H[1+]","0.00139743262698744"
"227.104030847597","CPD-14736","M+H2O+H[1+]","0.00136211892697702"
"215.067549866973","CPD-7619","M+HCOOK[1+]","0.000406293397020363"
"229.119766013961","CPD-7229","M-CO+H[1+]","0.00156791269097312"
"488.274636112803","GLYCOCHENODEOXYCHOLIC_ACID","M+K[1+]","0.0022638499669938"
"189.088381992388","C01149","M+NaCl[1+]","0.000683615281985794"
"189.088381992388","AGMATHINE","M+NaCl[1+]","0.000659055417997934"
"189.088381992388","CPD-9978","M+Na[1+]","0.000274167981984874"
"185.057013387501","C02373","M+HCOOK[1+]","0.000378086569014613"
"185.057013387501","CPD-499","M-CO2+H[1+]","0.000352361269023049"
"185.057013387501","TRANS-2-HEXENOL","M+HCOOK[1+]","0.000378086569014613"
"173.09348013149","CPD-10814","M+H[1+]","0.00141140281999697"
"173.09348013149","CPD-13397","M-H2O+H[1+]","0.00144671652000739"
"173.09348013149","CPD0-1445","M-HCOOH+H[1+]","0.00133209442000748"
"160.075526465163","CPD-2742","M-NH3+H[1+]","0.000213019307011564"
"160.075526465163","INDOLE_ACETALDEHYDE","M+H[1+]","0.000163917807014968"
"160.075526465163","C00780","M-NH3+H[1+]","0.000213019307011564"
"160.075526465163","CPD-11671","M-H2O+H[1+]","0.000128604107004548"
"160.075526465163","CPD-12020","M-HCOOH+H[1+]","0.000243226207004454"
"160.075526465163","INDOLE-3-GLYCOL","M-H2O+H[1+]","0.000128604107004548"
"275.125186756443","CPD-14601","M-HCOOH+H[1+]","0.0026780849270267"
"275.125186756443","CPD-7229","M+H2O+H[1+]","0.00138865517294562"
"231.098813202464","5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE","M-HCOOK+H[1+]","0.00132013489400151"
"275.06759593665","CPD-11665","M+H2O+H[1+]","0.00205810412001028"
"275.06759593665","CPD-13393","M+HCOONa[1+]","0.000406453779987714"
"195.135449572481","CPD-3617","M+Na[1+]","0.000156780488993036"
"381.188254585488","C01674","M-CO2+H[1+]","0.00146836641795289"
"259.130136054244","C00449","M-H2O+H[1+]","0.00132320247399775"
"263.104237757544","C00120","M+H2O+H[1+]","0.00180178952598453"
"229.119747818848","CPD-7229","M-CO+H[1+]","0.00154971757797284"
"341.172537790189","CPD-352","M+HCOONa[1+]","0.000231308818968046"
"177.088393504876","CPD-13404","M-CO+H[1+]","0.00149553200597552"
"177.088393504876","CPD-3569","M-CO+H[1+]","0.00149553200597552"
"177.088393504876","C00299","M-HCOONa+H[1+]","0.00101909009404721"
"486.186413879277","CPD-14704","M+Na[1+]","0.00169832919300461"
"315.192740434567","C01780","M-HCOOH+H[1+]","0.00281004150298259"
"315.192740434567","C00762","M-HCOOH+H[1+]","0.00281004150298259"
"315.192740434567","HYDROXY-915-DIOXOPROSTA-13-ENOATE","M-H4O2+H[1+]","0.00266010570300068"
"313.143165777306","R-RETICULINE","M-NH3+H[1+]","0.000318921363941627"
"313.143165777306","S-RETICULINE","M-NH3+H[1+]","0.000318921363941627"
"313.143165777306","SALUTARIDINOL","M-NH3+H[1+]","0.000318921363941627"
"233.077957598641","ARG","M+NaCl[1+]","0.000405417471000646"
"465.212453737707","CPD-14704","M(C13)+H[1+]","0.00294152923697766"
"74.0969270517171","CPD-12763","M-CO+H[1+]","0.000586604547109459"
"74.0969270517171","VAL","M-CO2+H[1+]","0.000471982447109554"
"461.287747568773","CPD-7284","M+HCOONa[1+]","0.000411329603025479"
"203.10392535296","5-PHOSPHO-RIBOSYL-GLYCINEAMIDE","M-HCOOK+H[1+]","0.0013469074900172"
"203.10392535296","N-ACETYL-BETA-GLUCOSAMINYLAMINE","M-H2O+H[1+]","0.00132725168998604"
"177.088538705106","CPD-13404","M-CO+H[1+]","0.00164073223598393"
"177.088538705106","CPD-3569","M-CO+H[1+]","0.00164073223598393"
"177.088538705106","C00299","M-HCOONa+H[1+]","0.000873889864038802"
"81.0316191244697","C00207","M+Na[1+]","0.000477842999700329"
"81.0316191244697","CPD-665","M+Na[1+]","0.000477842999700329"
"81.0316191244697","CPD-9501","M+H+Na[2+]","0.000697124900298718"
"81.0316191244697","CPD3O-4151","M+H+Na[2+]","0.000697124900298718"
"365.229939110859","11-DEOXY-CORTISOL","M+H2O+H[1+]","0.00234680731102799"
"365.229939110859","C02140","M+H2O+H[1+]","0.00234680731102799"
"210.088742146295","CPD-13401","M-NH3+H[1+]","0.00137534302498921"
"210.088742146295","CPD-13227","M+3H[3+]","0.00142841557499196"
"210.088742146295","C00881","M-H2O+H[1+]","0.00145975822502464"
"383.218326850093","18-HYDROXYOLEATE","M+HCOOK[1+]","0.00104457437703331"
"383.218326850093","CPD66-28","M+HCOONa[1+]","0.000929823877015679"
"383.218326850093","C00410","M+HCOONa[1+]","0.000929823877015679"
"184.057950434374","CPD-10687","M+HCOONa[1+]","5.45706960224379e-05"
"184.057950434374","CPD-468","M+Na[1+]","0.000133879096011924"
"184.057950434374","C00763","M+HCOONa[1+]","5.45706960224379e-05"
"184.057950434374","PRO","M+HCOONa[1+]","5.45706960224379e-05"
"285.166837258364","CPD-13014","M-H2O+H[1+]","0.00277777560597769"
"285.166837258364","CPD-2752","M-HCOOK+H[1+]","0.00110483760602165"
"255.192676642038","CPD-7867","M+HCOONa[1+]","0.000365281431982112"
"240.137889124409","CPD-7710","M-C3H4O2+H[1+]","0.000430887960988002"
"240.137889124409","C01516","M-HCOOH+H[1+]","0.000480823760995008"
"240.137889124409","C01735","M-CO2+H[1+]","0.000430759561027116"
"371.240659930024","13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1","M+H2O+H[1+]","0.00219067444601251"
"371.240659930024","20-OH-LTB4","M+H2O+H[1+]","0.00219067444601251"
"371.240659930024","5Z13E-15S-1115-DIHYDROXY-9-OXOPROS","M+H2O+H[1+]","0.00219067444601251"
"371.240659930024","5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA","M+H2O+H[1+]","0.00219067444601251"
"371.240659930024","5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O","M+H2O+H[1+]","0.00219067444601251"
"371.240659930024","ALPHA-HYDROXY-915-DIOXOPROSTANOATE","M+H2O+H[1+]","0.00219067444601251"
"371.240659930024","ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA","M+H2O+H[1+]","0.00219067444601251"
"371.240659930024","PROSTAGLANDIN-H2","M+H2O+H[1+]","0.00219067444601251"
"264.120362423011","3-HYDROXY-N6N6N6-TRIMETHYL-L-LYSINE","M+NaCl[1+]","0.000731594558999404"
"264.120362423011","ACETYL-ETCETERA-L-ASPARAGINE","M-C3H4O2+H[1+]","0.00132128974098578"
"195.135294108967","CPD-3617","M+Na[1+]","0.000312244002998341"
"351.156588608392","CPD-12016","M-CO2+H[1+]","0.00149644822198525"
"111.041808568628","BUTYRIC_ACID","M+Na[1+]","0.000102600858014057"
"226.122359065291","C06171","M-C3H4O2+H[1+]","0.00031088287903458"
"226.122359065291","CPD-7712","M-C3H4O2+H[1+]","0.00031088287903458"
"226.122359065291","CPD-7713","M-C3H4O2+H[1+]","0.00031088287903458"
"269.171890949948","DODECANOATE","M+HCOONa[1+]","0.00041553142199291"
"229.08317895168","C00526","M+H[1+]","0.00128097880997302"
"229.08317895168","CPD-195","M+HCOOK[1+]","0.000427272889993446"
"345.203395884038","C01124","M-H2O+H[1+]","0.0026046562319948"
"345.203395884038","C00735","M-H2O+H[1+]","0.0026046562319948"
